System,Model,Implemented
GameCube,GC Memory Card 59,[ ]
GameCube,GC Memory Card 251,[ ]
GameCube,GC Memory Card 1019,[ ]
Dreamcast,VMU,[ ]
Dreamcast,VMU screen,[ ]
Dreamcast,Controller VMU,[ ]
PlayStation,PS1 memory card,[ ]
N64,Rumble Pak / Controller Pak,[ ]
Commodore,1541 II Drive,[ ]
Commodore,Amiga Mouse,[ ]
PlayStation,PS1 connector (extracted),[ ]
Genesis,Sega 9-pin connector (extracted),[ ]
